recall_target,global_precision,global_kept,global_tp,pareto_precision,pareto_kept,pareto_tp,relative_gain_pct
0.99,0.003378997181435199,365789,1236,0.0034228366343214143,361104,1236,1.2974101643847789
0.95,0.003411300436048184,347668,1186,0.003969768173571921,298758,1186,16.371109727605614
0.9,0.0033627926736595204,334246,1124,0.005065801334054444,221880,1124,50.64268974220298
0.85,0.003313326379823997,320222,1061,0.006772844786313874,156655,1061,104.41224346493887
0.8,0.0032716340485734498,305352,999,0.008537439964448699,117014,999,160.95339019262653
0.7,0.0032402052377139127,269736,874,0.01687128407072813,51804,874,420.6856613388927
